,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
169,2019,1203,Washington University in St. Louis,MO,797267,0,415636,3904,70925,601284,1471,0,18752,82052,11489,9803,0,0,966140,0,26224345,0,3951205,12512396,0,0,0,5504892,0,360607,0,34242708,0,0,48553445,48553445,0,0,58582757,58582757
170,2019,1204,Montana Tech of The University of Montana,MT,12666,0,6600,350,24819,0,1600,2528,10576,900,0,0,0,0,0,0,0,0,550000,0,0,0,0,0,0,0,0,0,0,0,550000,550000,0,0,0,0
171,2019,1205,Montana State University-Bozeman,MT,114496,146000,35000,2000,49000,500,500,7000,6500,59000,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000,17000000
172,2019,1206,"The University of Montana, Missoula",MT,86096,58793,91659,2441,0,60554,2771,3716,18881,19447,1288,5650,0,12563,0,0,290000,0,0,500000,0,300000,0,0,0,0,0,0,500000,300000,290000,1090000,0,0,0,0
173,2019,1207,Creighton University,NE,18896,0,62268,212,0,50783,1176,0,0,12629,3129,4483,5478,0,83941,0,1122638,0,0,947046,0,0,0,1511831,0,0,0,947046,0,0,3581515,3581515,0,0,0,0
174,2019,1208,University of Nebraska-Omaha,NE,10987,0,20854,2302,6061,1855,577,49,1695,3282,11528,1788,0,11456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610000,11610000
175,2019,1209,University of Nebraska-Lincoln,NE,275161,720908,232031,9604,169940,96948,0,48489,9101,97038,11909,60350,0,3162,0,5298000,894031,0,2531812,0,0,0,0,971000,0,356284,0,0,0,4615655,5435472,10051127,0,0,0,0
176,2019,1210,"University of Nevada, Reno",NV,127049,73616,144082,14917,89769,7563,0,18417,30322,92104,14783,8701,0,0,52774,2725310,0,0,0,0,0,0,0,627930,0,0,0,832061,0,0,3353240,3353240,0,35000000,0,35000000
177,2019,1211,"University of Nevada, Las Vegas",NV,62711,0,42532,18525,61342,27883,112,0,15931,38370,15771,10338,0,2800,2151,0,1571295,596597,2119325,851987,0,0,509262,2015494,522178,1072421,0,330000,235000,0,9023559,9258559,0,0,0,0
178,2019,1212,Dartmouth College,NH,287951,0,254040,25833,74082,157954,21795,11818,23057,80735,37599,59556,2629,0,396686,0,0,0,0,0,0,0,288491,0,0,0,0,0,0,0,288491,288491,0,0,21040192,21040192
179,2019,1213,University of New Hampshire,NH,133378,83575,63059,17262,60518,6139,171,16148,78153,31863,7975,5000,0,4257,0,0,35650000,0,0,0,0,0,400000,0,0,0,0,0,0,0,36050000,36050000,0,20000000,9070000,29070000
180,2019,1215,New Jersey Institute of Technology,NJ,124565,0,12758,6153,90483,0,119,0,0,25906,0,0,0,0,0,0,688699,1236058,2977136,0,0,0,0,1980983,0,0,0,0,0,2711588,4171288,6882876,0,6000000,0,6000000
181,2019,1216,Princeton University,NJ,351594,0,129349,25154,200358,0,25034,0,31227,200468,25953,69891,0,0,0,0,5100207,1265832,5454963,0,0,0,2042029,11528118,0,44575000,0,0,0,0,69966149,69966149,0,0,0,0
